x,y,full_id,osm_id,osm_type,amenity,name,name:kn,barrier,bicycle,foot,motorcycle,wikidata,addr:city,addr:postcode,addr:street,wheelchair,ups_school,phone,website,isced:level,operator,place,school,highway,building,email,addr:housename,designation,alt_name,fax,description,name:en,name:hi,addr:housenumber,opening_hours,cmt,ele,hdop,sat,level,entrance,access,building:levels,isced,addr:country,addr:hamlet,addr:suburb
77.6161707,12.9639537,n6349045454,6349045454,node,school,GKHPS Yalagondana Palya,ಸರ್ಕಾರಿ ಕನ್ನಡ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಯಳಗೊಂಡನ ಪಾಳ್ಯ,,,,,,,,,,,,,2,Department of Education,Yalagondana Palya,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6674463,12.8814541,n6349022511,6349022511,node,school,GHPS Parappana Agrahara Centra,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ  ಪರಪ್ಪನ ಅಗ್ರಹಾರ,,,,,,,,,,,,,2,Department of Education,Parappana Agrahara,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6002696,12.9538261,n6349031908,6349031908,node,school,GHPS Ksrtc Shanthinagar,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಕೆ.ಎಸ್‌.ಆರ್‌.ಟಿ.ಸಿ ಶಾಂತಿನಗರ,,,,,,,,,,,,,2,Department of Education,Shanthinagar,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6116127,12.9547967,n6349011311,6349011311,node,school,Mahanagara Palike HPS  Neelasandra,ಮಹಾನಗರ ಪಾಲಿಕೆ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆನೀಲಸಂದ್ರ,,,,,,,,,,,,,2,Department of Education,Neelasandra,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6036834,12.9174015,n6349012849,6349012849,node,school,GUHPS  Neelasandra,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ನೀಲಸಂದ್ರ,,,,,,,,,,,,,2,Department of Education,Neelasandra,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6350512,12.9042134,n6349546960,6349546960,node,school,GUHPS Mangammana Palya,ಸರ್ಕಾರಿ ಉರ್ದು ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಮಂಗಮ್ಮನ ಪಾಳ್ಯ,,,,,,,,,,,,,2,Department of Education,Mangammana Palya,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6101583,12.9687661,n6349552784,6349552784,node,school,GUHPS Ashok Nagar,ಸರ್ಕಾರಿ ಉರ್ದು ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಅಶೋಕ್ ನಗರ,,,,,,,,,,,,,2,Department of Education,Ashok Nagar,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6023166,12.9116316,n6349534102,6349534102,node,school,Sangameshwara HPS Byrasandra,ಸಂಗಮೇಶ್ವರ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಬೈರಸಂದ್ರ,,,,,,,,,,,,,2,Pvt. Aided,Byrasandra,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6117497,12.9475906,n6349544678,6349544678,node,school,Padmavathi HS Suddagunte Palya,ಪದ್ಮಾವತಿ ಎಚ್‌.ಎಸ್‌. ಸುದ್ದಗುಂಟೆ ಪಾಳ್ಯ,,,,,,,,,,,,,2,Pvt. Aided,Suddagunte Palya,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.5884207,12.9458038,n6349491619,6349491619,node,school,GHPS Lalbhag Siddapur,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಲಾಲ್ಭಾಗ್ ಸಿದ್ದಾಪುರ,,,,,,,,,,,,,2,Department of Education,Lalbhag Siddapur,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.582022,12.8975384,n6349500173,6349500173,node,school,GMPS Puttenhalli,ಸರ್ಕಾರಿ ಮಾದರಿ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಪುಟ್ಟೇನಹಳ್ಳಿ,,,,,,,,,,,,,2,Department of Education,Puttenhalli,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6354127,12.8584295,n6349440643,6349440643,node,school,GHPS Vittasandra,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ವಿಟ್ಟಸಂದ್ರ,,,,,,,,,,,,,2,Department of Education,Vittasandra,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.5821593,12.9544133,n6349451119,6349451119,node,school,GUHPS V V Puram,ಸರ್ಕಾರಿ ಉರ್ದು ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ವಿ.ವಿ. ಪುರಂ,,,,,,,,,,,,,,Pvt. Aided,V V Puram,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.5704224,12.8779168,n6349585531,6349585531,node,school,GULPS Hari Nagar,ಸರ್ಕಾರಿ ಉರ್ದು ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಹರಿನಗರ,,,,,,,,,,,,,2,Department of Education,Hari Nagar,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6028969,12.8763234,n6349589920,6349589920,node,school,GMPS Hulimavu,ಸರ್ಕಾರಿ ಮಾದರಿ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಹುಳಿಮಾವು,,,,,,,,,,,,,2,Department of Education,Hulimavu,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.594691,12.9446007,n6349577893,6349577893,node,school,GUMPS Tank Garden Arekempanahalli,ಸರ್ಕಾರಿ ಉರ್ದು ಮಾದರಿ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಟ್ಯಾಂಕ್ ಗಾರ್ಡನ್,,,,,,,,,,,,,2,Department of Education,Arekempanahalli,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.5697156,12.8772594,n6349580757,6349580757,node,school,GKHPS Hari Nagar,ಸರ್ಕಾರಿ ಕನ್ನಡ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಹರಿನಗರ,,,,,,,,,,,,,2,Department of Education,Hari Nagar,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6374384,12.9741197,n6349565035,6349565035,node,school,GHPS Appareddypalya,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಅಪ್ಪರೆಡ್ಡಿಪಾಳ್ಯ,,,,,,,,,,,,,2,Department of Education,Appareddypalya,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6034426,12.9674826,n6349571364,6349571364,node,school,St Euphrasias HPS Richmond Town,ಸೆಂಟ್‌ ಯೂಫ್ರಾಸಿಯಾಸ್ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ರಿಚ್‌ಮಂಡ್ ಟೌನ್,,,,,,,,,,,,,2,Pvt. Aided,Richmond Town,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6288761,12.9685408,n6349556765,6349556765,node,school,St Miras HPS Ulsoor,ಸೆಂಟ್‌ ಮಿರಸ್ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಹಲಸೂರು,,,,,,,,,,,,,2,Pvt. Aided,Ulsoor,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6282174,12.9766881,n6349564529,6349564529,node,school,Kairaliketan HPS Jogupalya,ಕೈರಾಲಿಕೇತನ್ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಜೊಗುಪಾಳ್ಯ,,,,,,,,,,,,,2,Pvt. Aided,Jogupalya,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.5817969,12.9523143,n6349285856,6349285856,node,school,Ganapathi Vidyamandir V V Puram,ಗಣಪತಿ ವಿದ್ಯಾಮಂದಿರ ವಿ.ವಿ. ಪುರಂ,,,,,,,,,,,,,2,Pvt. Aided,V V Puram,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.5938808,12.9276158,n6349293094,6349293094,node,school,GHPS Tilak Nagar,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ತಿಲಕ್ ನಗರ,,,,,,,,,,,,,2,Department of Education,Tilak Nagar,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6058977,12.9224842,n6349248890,6349248890,node,school,GUMHPS Old Gurappana Palya,ಸರ್ಕಾರಿ ಉರ್ದು ಮಾದರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಹಳೆ ಗುರಪ್ಪನಪಾಳ್ಯ,,,,,,,,,,,,,2,Department of Education,old gurappana Palya,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.5998944,12.9266549,n6349268338,6349268338,node,school,St Anthony HPS Gurappana Palya,ಸೆಂಟ್‌ ಅಂಥೋನಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಗುರಪ್ಪನಪಾಳ್ಯ,,,,,,,,,,,,,2,Pvt. Aided,Gurappana Palya,primary,,,,,,,,,,,,,,,,,,,,,,,,
